"Adam Boyden","Q75838763","2019 United Kingdom general election","Somerton and Frome","Liberal Democrats"
"Alan Dimmick",,,,
"Andrea Dexter","Q75975752","2019 United Kingdom general election","Somerton and Frome","Green Party of England and Wales"
"Andy Perkins",,,,
"Barry Harding",,,,
"Bill Lukins",,,,
"Carl Beaman",,,,
"Clive Allen",,,,
"David Oakensen",,,,
"I.S. Kelly",,,,
"Ian Angell",,,,
"JB Osborn",,,,
"Jean Pollock",,,,
"Joseph Pestell",,,,
"Mark Blackburn",,,,
"Ms. J Pollock",,,,
"Ms. LA Graham",,,,
"N Hinton",,,,
"Niall Warry","Q98545246","2005 United Kingdom general election","Cheltenham","UK Independence Party"
"Peter Bridgwood",,,,
"R.G. Morgan",,,,
"R.P. Gadd",,,,
"Richard Hadwin",,,,
"Robert Ashford",,,,
"Robert Rodwell",,,,
"Sean Dromgoole","Q76363335","2019 United Kingdom general election","Somerton and Frome","Labour Party"
"Theo Simon",,,,
